             name              | avg_price | price_rank 
 South Darrenbury Village      |   1241125 |        664
 Angelaville Heights           |   1239762 |        665
 Ashleyshire Park              |   1237632 |        666
 Burnston Ridge                |   1236732 |        667
 Hernandezside Gardens         |   1236294 |        668
 Port Anthony Heights          |   1236275 |        669
 Vincentville Village          |   1234791 |        670
 North Mariaview Gardens       |   1234709 |        671
 Thomasville Bay               |   1234195 |        672
 North Julianton Ridge         |   1233185 |        673
 North Cristianton Village     |   1232920 |        674
 South Monica Village          |   1232469 |        675
 North Kimberlymouth Gardens   |   1232389 |        676
 Peterton Bay                  |   1232236 |        677
 West Frankport Village        |   1231585 |        678
 Hayesmouth Bay                |   1231064 |        679
 South Jason Park              |   1231033 |        680
 Port Margaretfurt Village     |   1230864 |        681
 Jessicatown Park              |   1229802 |        682
 Taylorland Park               |   1228853 |        683
 Robertburgh Village           |   1228610 |        684
 Nathanielport Heights         |   1227785 |        685
 Garyfort Heights              |   1227766 |        686
 Lake Markborough Park         |   1227115 |        687
 Port Darlene Estates          |   1227082 |        688
 South Heidiborough Gardens    |   1226692 |        689
 Jamesbury Ridge               |   1225384 |        690
 Cynthiafurt Heights           |   1225045 |        691
 New Julie Ridge               |   1222236 |        692
 North Erica Park              |   1220322 |        693
 North Jenniferview Estates    |   1218431 |        694
 Adambury Heights              |   1217764 |        695
 Lake Michaelhaven Estates     |   1215512 |        696
 Pearsonside Bay               |   1214700 |        697
 North Mark Village            |   1214561 |        698
 Stephenshire Gardens          |   1214310 |        699
 Lindatown Estates             |   1213888 |        700
 Cruzview Ridge                |   1213852 |        701
 Troyville Heights             |   1213453 |        702
 Pinedahaven Estates           |   1213298 |        703
 Berryview Gardens             |   1212952 |        704
 South Catherine Ridge         |   1212580 |        705
 North Nicholasport Gardens    |   1212487 |        706
 West Donna Ridge              |   1212119 |        707
 North Stevenbury Estates      |   1211801 |        708
 New Ashley Ridge              |   1211178 |        709
 Larryview Heights             |   1209443 |        710
 South Pam Gardens             |   1208638 |        711
 Lake Michael Park             |   1208523 |        712
 New Cherylport Ridge          |   1207541 |        713
 Shannonville Estates          |   1207163 |        714
 Abigailmouth Estates          |   1206771 |        715
 West Chase Gardens            |   1206466 |        716
 Alexishaven Bay               |   1203345 |        717
 New Andrew Village            |   1202328 |        718
 Johnsonmouth Heights          |   1201942 |        719
 Ericfort Heights              |   1201027 |        720
 South Patriciaview Bay        |   1200671 |        721
 Aguilarside Estates           |   1198936 |        722
 Floreshaven Park              |   1197891 |        723
 Lake Jaredfurt Ridge          |   1196200 |        724
 Port Mariobury Bay            |   1195870 |        725
 North Valerieton Gardens      |   1194814 |        726
 New Timothy Ridge             |   1194676 |        727
 Cassidybury Village           |   1194116 |        728
 Carmenmouth Ridge             |   1193909 |        729
 Richardport Gardens           |   1192856 |        730
 Lake Edwardfort Estates       |   1192458 |        731
 New Lisa Bay                  |   1192430 |        732
 Mariobury Village             |   1190913 |        733
 East Williamfort Ridge        |   1190375 |        734
 Port Justinview Ridge         |   1190122 |        735
 Lake Melissaview Gardens      |   1189026 |        736
 Ryanmouth Ridge               |   1188367 |        737
 New Austin Heights            |   1186723 |        738
 Fosterport Bay                |   1185679 |        739
 Johnmouth Ridge               |   1185673 |        740
 South Janetside Heights       |   1184929 |        741
 Kirkton Village               |   1184375 |        742
 Montesside Park               |   1184224 |        743
 Port Jay Heights              |   1183782 |        744
 East Melissaberg Ridge        |   1182242 |        745
 Ashleyview Bay                |   1180231 |        746
 Welchmouth Estates            |   1180224 |        747
 South Kimberly Park           |   1179722 |        748
 Jessetown Heights             |   1179254 |        749
 Woodardbury Park              |   1178322 |        750
 New Jenniferberg Bay          |   1177421 |        751
 Grayton Gardens               |   1177198 |        752
 Lake Brookeport Estates       |   1176348 |        753
 South Shawnfort Gardens       |   1174107 |        754
 East Brandon Heights          |   1173075 |        755
 Amandaland Bay                |   1170991 |        756
 Lake Sarah Heights            |   1170821 |        757
 Markberg Heights              |   1170126 |        758
 Davidview Bay                 |   1167821 |        759
 New Michelle Village          |   1166718 |        760
 West Craigport Village        |   1166438 |        761
 Hoodbury Estates              |   1165885 |        762
 Lake Jenniferborough Gardens  |   1165491 |        763
 East Stephenburgh Estates     |   1164889 |        764
 Michelleberg Gardens          |   1164031 |        765
 West Shawnberg Ridge          |   1163504 |        766
 South Mark Bay                |   1162996 |        767
 Port Alexismouth Village      |   1162616 |        768
 North Dana Gardens            |   1162556 |        769
 Lake Steven Estates           |   1161009 |        770
 Lynchtown Ridge               |   1159693 |        771
 Thomasfort Park               |   1158011 |        772
 Jeffreyberg Bay               |   1157197 |        773
 New Kathleenfurt Park         |   1155344 |        774
 Lake Annaland Estates         |   1154970 |        775
 Port Christopherburgh Bay     |   1152021 |        776
 New Katelynshire Heights      |   1150593 |        777
 Port Kristinburgh Gardens     |   1150081 |        778
 Samanthahaven Gardens         |   1149462 |        779
 East Vincent Estates          |   1148817 |        780
 Swansonberg Estates           |   1147478 |        781
 Port Julie Bay                |   1147464 |        782
 Vaughnfurt Estates            |   1145556 |        783
 Huangborough Bay              |   1145530 |        784
 South Joseph Park             |   1145218 |        785
 South Ericshire Ridge         |   1143335 |        786
 Nathanville Estates           |   1143197 |        787
 Kathleenville Village         |   1142629 |        788
 West Vincentfurt Village      |   1142369 |        789
 North Sarah Bay               |   1141716 |        790
 Angelabury Bay                |   1140575 |        791
 Lake Michelleport Estates     |   1140458 |        792
 Port Daniel Gardens           |   1140371 |        793
 North Deborah Bay             |   1140086 |        794
 Brownton Ridge                |   1138612 |        795
 Robinsonland Gardens          |   1138139 |        796
 Arroyoville Park              |   1138029 |        797
 Kimhaven Ridge                |   1137529 |        798
 Lake Brandonfurt Village      |   1136281 |        799
 Millsmouth Bay                |   1136095 |        800
 Alejandroview Park            |   1134913 |        801
 Anneland Heights              |   1133917 |        802
 North Kayla Bay               |   1133038 |        803
 Timothyburgh Bay              |   1131906 |        804
 Richardsborough Park          |   1130340 |        805
 New Michael Gardens           |   1127351 |        806
 Matthewville Ridge            |   1125956 |        807
 New Christinaton Bay          |   1125818 |        808
 West Eddie Bay                |   1125649 |        809
 Michelleport Gardens          |   1125573 |        810
 Davidview Heights             |   1125436 |        811
 Tanyaview Park                |   1125164 |        812
 Port Ricardomouth Bay         |   1123132 |        813
 South Chad Bay                |   1122999 |        814
 New Russellside Bay           |   1119265 |        815
 New Conniefort Village        |   1118361 |        816
 South Codychester Gardens     |   1118311 |        817
 Lake Gregory Village          |   1117731 |        818
 Lake Georgemouth Heights      |   1117046 |        819
 Randyville Ridge              |   1114572 |        820
 Brownborough Park             |   1113739 |        821
 Carriechester Estates         |   1112357 |        822
 Port Stephaniechester Estates |   1111798 |        823
 Lewisport Park                |   1111303 |        824
 North Marybury Village        |   1111071 |        825
 Port Eric Estates             |   1109707 |        826
 Robinsonville Heights         |   1109258 |        827
 West Evanmouth Park           |   1109122 |        828
 Brooksfurt Park               |   1108997 |        829
 Lake Heatherfurt Park         |   1108134 |        830
 Daughertyview Village         |   1108001 |        831
 Johnsonmouth Bay              |   1107528 |        832
 Wallaceside Village           |   1107229 |        833
 Lorimouth Heights             |   1106746 |        834
 Donnatown Bay                 |   1106501 |        835
 Brownside Village             |   1106429 |        836
 Armstrongfurt Estates         |   1106158 |        837
 East Shannon Heights          |   1105782 |        838
 Jordanville Estates           |   1105239 |        839
 Davidside Estates             |   1105165 |        840
 South Raymondberg Gardens     |   1105024 |        841
 Newmanshire Heights           |   1104280 |        842
 Gomezton Ridge                |   1102743 |        843
 Ashleyview Gardens            |   1101303 |        844
 Lake Donna Heights            |   1100487 |        845
 East Jesseshire Village       |   1095886 |        846
 Goldenmouth Estates           |   1095089 |        847
 West David Village            |   1094368 |        848
 Nobleport Bay                 |   1094073 |        849
 New Cassidy Estates           |   1093761 |        850
 Douglastown Park              |   1093734 |        851
 South John Park               |   1093530 |        852
 Christianton Heights          |   1091338 |        853
 Lake Rebecca Heights          |   1090215 |        854
 Port Jacobtown Gardens        |   1089546 |        855
 Schwartzbury Village          |   1089381 |        856
 Richardland Park              |   1089303 |        857
 New Jonathan Park             |   1087927 |        858
 South Patricia Estates        |   1084934 |        859
 East Blakeshire Ridge         |   1084849 |        860
 Lake Nathaniel Park           |   1083997 |        861
 Sullivanview Bay              |   1083547 |        862
 North Anitaside Bay           |   1081167 |        863
 Tammymouth Ridge              |   1081115 |        864
 Whitefort Ridge               |   1080175 |        865
 Robertmouth Gardens           |   1080074 |        866
 Snydertown Heights            |   1079223 |        867
 Lake Jason Gardens            |   1078960 |        868
 North Kristen Bay             |   1078707 |        869
 Brianstad Heights             |   1078689 |        870
 North Richardmouth Estates    |   1076556 |        871
 South Tiffanychester Bay      |   1076475 |        872
 Lisabury Estates              |   1075603 |        873
 Guzmantown Park               |   1074560 |        874
 Natalietown Bay               |   1073585 |        875
 Flowersside Estates           |   1072963 |        876
 West Diane Bay                |   1071125 |        877
 South Monicaside Estates      |   1071023 |        878
 Wendytown Heights             |   1070338 |        879
 Bennettland Village           |   1069533 |        880
 South John Heights            |   1069265 |        881
 South Debraborough Village    |   1067744 |        882
 Port Michelle Ridge           |   1066280 |        883
 Jessemouth Gardens            |   1066151 |        884
 Meganville Ridge              |   1065892 |        885
 Richardfurt Bay               |   1064997 |        886
 Trevorville Estates           |   1064424 |        887
 Murphyland Village            |   1064226 |        888
 Phillipsfort Village          |   1063265 |        889
 Port Jason Park               |   1063038 |        890
 West Shariburgh Park          |   1063011 |        891
 New Samuel Estates            |   1061182 |        892
 Port Judy Bay                 |   1058931 |        893
 Ellisfurt Heights             |   1058876 |        894
 West Edward Estates           |   1057749 |        895
 West Markland Heights         |   1057330 |        896
 Ericksonville Bay             |   1057111 |        897
 West Regina Village           |   1056215 |        898
 Davismouth Bay                |   1055664 |        899
 Lake Benjamin Heights         |   1055559 |        900
 Fitzgeraldmouth Gardens       |   1054890 |        901
 Johnnybury Bay                |   1054673 |        902
 East Jennifer Village         |   1054592 |        903
 East Donald Heights           |   1052465 |        904
 New Yolandamouth Estates      |   1051969 |        905
 Cruzchester Park              |   1051836 |        906
 South Patricia Village        |   1051685 |        907
 New David Ridge               |   1050945 |        908
 Bellhaven Park                |   1049946 |        909
 Griffinfort Village           |   1049854 |        910
 East Theresa Bay              |   1049227 |        911
 Danielberg Ridge              |   1048374 |        912
 Gonzalezbury Ridge            |   1047351 |        913
 South Nicholeville Village    |   1047074 |        914
 Lauraside Heights             |   1046024 |        915
 Lake Marissaview Park         |   1044967 |        916
 West Cynthiafurt Ridge        |   1044509 |        917
 Marymouth Ridge               |   1043378 |        918
 Maryborough Ridge             |   1041651 |        919
 Port Jason Village            |   1041490 |        920
 Joshuaton Heights             |   1040940 |        921
 New Jacob Ridge               |   1040609 |        922
 Lake Jessica Gardens          |   1040368 |        923
 Thomasbury Heights            |   1040358 |        924
 West Brendaside Village       |   1039511 |        925
 Port Brenda Ridge             |   1037694 |        926
 Knightburgh Village           |   1036921 |        927
 Rachelburgh Heights           |   1034361 |        928
 New Michelle Bay              |   1033043 |        929
 Conleymouth Park              |   1032705 |        930
 Nicholasland Estates          |   1032684 |        931
 West Dustinmouth Heights      |   1031235 |        932
 South Evanburgh Bay           |   1030801 |        933
 North Ashley Estates          |   1030688 |        934
 East Cherylbury Heights       |   1029916 |        935
 Skinnermouth Heights          |   1029729 |        936
 North Joanna Gardens          |   1029422 |        937
 Dianeland Bay                 |   1028814 |        938
 East Rodneyville Park         |   1028142 |        939
 East Stevenhaven Gardens      |   1027169 |        940
 Martinberg Estates            |   1026598 |        941
 New Laurenberg Bay            |   1024801 |        942
 Deannaton Ridge               |   1023538 |        943
 Port Andrew Gardens           |   1023377 |        944
 East Crystalburgh Bay         |   1022854 |        945
 New Coreyfurt Park            |   1022206 |        946
 Jacquelinemouth Heights       |   1021836 |        947
 Savannahchester Ridge         |   1021531 |        948
 New Donnabury Heights         |   1020362 |        949
 Port Jasminechester Bay       |   1017512 |        950
 New Jodiborough Ridge         |   1017387 |        951
 Port Justinberg Heights       |   1017299 |        952
 West Angel Park               |   1017065 |        953
 New Triciahaven Heights       |   1016817 |        954
 Stephanieton Gardens          |   1015154 |        955
 North Laura Heights           |   1014748 |        956
 North Erica Heights           |   1013090 |        957
 East Christopher Park         |   1011876 |        958
 West Krystalfurt Village      |   1010284 |        959
 East Caitlinport Village      |   1009013 |        960
 Tyroneshire Heights           |   1008913 |        961
 Powellland Village            |   1007881 |        962
 Samuelview Ridge              |   1007713 |        963
 Elizabethport Village         |   1007109 |        964
 Lake Jeffrey Estates          |   1007069 |        965
 New Stevenberg Ridge          |   1005777 |        966
 Stephaniemouth Gardens        |   1005597 |        967
 East Brandon Estates          |   1005429 |        968
 Davidhaven Ridge              |   1004879 |        969
 South Lori Heights            |   1003537 |        970
 North Megan Park              |   1002914 |        971
 Palmerborough Ridge           |   1002448 |        972
 Berryfurt Ridge               |   1002047 |        973
 South Natalietown Gardens     |   1001895 |        974
 Port Heather Bay              |   1001525 |        975
 Chapmanland Park              |    997429 |        976
 Lake Jeffrey Gardens          |    997292 |        977
 North Kimberly Park           |    995565 |        978
 Paynestad Gardens             |    994862 |        979
 Dakotamouth Bay               |    994522 |        980
 Sharonton Ridge               |    993991 |        981
 South Anthony Estates         |    992345 |        982
 Williemouth Gardens           |    991735 |        983
 Mossburgh Heights             |    990005 |        984
 Millerbury Heights            |    989380 |        985
 North Laurenton Heights       |    988872 |        986
 Chadmouth Gardens             |    987676 |        987
 Brownview Park                |    987419 |        988
 Port Andreastad Park          |    986609 |        989
 Patelshire Gardens            |    986440 |        990
 Vickiborough Heights          |    986123 |        991
 Aliciaton Park                |    985808 |        992
 East Michael Bay              |    985338 |        993
 Port Vanessa Ridge            |    984954 |        994
 West Garrett Heights          |    984570 |        995
 South Michaelshire Gardens    |    984111 |        996
 West Josephmouth Estates      |    984081 |        997
 Flynnstad Heights             |    982899 |        998
 Bergermouth Village           |    982790 |        999
 Martinezport Gardens          |    982595 |       1000
 Hardyport Estates             |    981971 |       1001
 Loganburgh Ridge              |    981562 |       1002
 Reynoldston Ridge             |    979862 |       1003
 Kimberlyhaven Ridge           |    978303 |       1004
 Herrerachester Bay            |    978049 |       1005
 Martinfort Bay                |    977974 |       1006
 Garciafort Bay                |    977575 |       1007
 Port Matthew Park             |    977428 |       1008
 Laurastad Village             |    977414 |       1009
 Port Stephen Bay              |    974128 |       1010
 North Joshuahaven Village     |    974124 |       1011
 North Kristenside Bay         |    972259 |       1012
 New Christinafurt Heights     |    970901 |       1013
 Olsenview Estates             |    970495 |       1014
 Allisonland Heights           |    970209 |       1015
 East Thomasshire Village      |    970084 |       1016
 Thompsonmouth Heights         |    969653 |       1017
 Brownton Village              |    969454 |       1018
 Port Savannahland Village     |    968574 |       1019
 West Dennisview Heights       |    968050 |       1020
 Newtonbury Park               |    966861 |       1021
 West Brandonstad Gardens      |    966708 |       1022
 Williamsview Gardens          |    965340 |       1023
 South Brendachester Ridge     |    965166 |       1024
 Davisstad Bay                 |    965089 |       1025
 East Jamesburgh Estates       |    965038 |       1026
 Teresabury Estates            |    962581 |       1027
 Timothyville Bay              |    962168 |       1028
 Lake Stevenberg Estates       |    961754 |       1029
 East Devon Gardens            |    961195 |       1030
 Wendyport Heights             |    961111 |       1031
 South Emilyport Heights       |    959747 |       1032
 East Linda Park               |    959382 |       1033
 East Lisafurt Ridge           |    959318 |       1034
 Michaeltown Bay               |    958940 |       1035
 Katelynberg Bay               |    958540 |       1036
 West Jonathantown Park        |    957831 |       1037
 East Paulfurt Ridge           |    956221 |       1038
 Steelebury Bay                |    955660 |       1039
 Phillipshire Estates          |    955573 |       1040
 East Debbie Park              |    953571 |       1041
 Reedchester Ridge             |    953471 |       1042
 Hunterbury Park               |    952409 |       1043
 Williamsstad Estates          |    951261 |       1044
 West John Heights             |    950827 |       1045
 Jenniferland Gardens          |    946122 |       1046
 Danielberg Park               |    945464 |       1047
 Starkstad Park                |    944032 |       1048
 East Lisa Village             |    943573 |       1049
 Toddside Park                 |    943441 |       1050
 Port Nichole Park             |    942849 |       1051
 Maryshire Estates             |    942592 |       1052
 Port Ronald Village           |    941254 |       1053
 Cherylville Gardens           |    941035 |       1054
 Paulstad Estates              |    941026 |       1055
 Kimville Heights              |    940930 |       1056
 Port Shaun Heights            |    939680 |       1057
 West Michelle Village         |    939659 |       1058
 West Kelsey Ridge             |    939193 |       1059
 Reyesmouth Heights            |    938929 |       1060
 Harrischester Park            |    937237 |       1061
 Thompsonmouth Park            |    936894 |       1062
 Port Jeffrey Ridge            |    935555 |       1063
 East Amy Ridge                |    934593 |       1064
 South Hollyfurt Ridge         |    934308 |       1065
 Parsonsmouth Bay              |    933470 |       1066
 Erictown Bay                  |    932888 |       1067
 Kimberlyland Bay              |    932588 |       1068
 Tinaview Ridge                |    932201 |       1069
 West Aaronton Ridge           |    932136 |       1070
 Johnnymouth Ridge             |    931458 |       1071
 Brianhaven Bay                |    930920 |       1072
 North Jacob Ridge             |    930422 |       1073
 Port Shane Heights            |    927904 |       1074
 Marissashire Bay              |    926967 |       1075
 West Travisland Village       |    924997 |       1076
 Sandersview Heights           |    923744 |       1077
 Michaelland Estates           |    921500 |       1078
 South Taylor Estates          |    920198 |       1079
 Wallacemouth Estates          |    920076 |       1080
 South Jonathan Village        |    918920 |       1081
 Sarahfurt Heights             |    915002 |       1082
 Nguyenton Village             |    914910 |       1083
 Chaneyview Gardens            |    914766 |       1084
 Stevensshire Ridge            |    914496 |       1085
 New Katherineburgh Village    |    914426 |       1086
 Wallaceland Estates           |    913860 |       1087
 Carrieside Gardens            |    913271 |       1088
 Lake Ian Bay                  |    912911 |       1089
 East Reginaldside Park        |    910922 |       1090
 Jimmyville Heights            |    910545 |       1091
 Coffeyfurt Park               |    910289 |       1092
 Prestonchester Heights        |    909400 |       1093
 West Matthew Bay              |    908714 |       1094
 Larryhaven Bay                |    908207 |       1095
 South Tylerstad Ridge         |    906411 |       1096
 Millerville Bay               |    906409 |       1097
 New Lauren Park               |    905557 |       1098
 East Benjamin Village         |    905373 |       1099
 North Ronaldshire Heights     |    904815 |       1100
 Lake Megan Bay                |    904721 |       1101
 Katherinefurt Ridge           |    904483 |       1102
 New Maria Heights             |    904366 |       1103
 Port Gabriel Heights          |    903970 |       1104
 Kevinfurt Estates             |    903944 |       1105
 Hernandezborough Heights      |    902763 |       1106
 Hallmouth Bay                 |    902462 |       1107
 Lake Russell Bay              |    899665 |       1108
 Amyburgh Estates              |    899155 |       1109
 Port Kelly Bay                |    898035 |       1110
 South Christopherfurt Village |    896751 |       1111
 Billhaven Heights             |    896285 |       1112
 South Johnville Bay           |    895974 |       1113
 Kelleystad Heights            |    895958 |       1114
 Johnnyview Estates            |    894334 |       1115
 East Matthew Bay              |    893793 |       1116
 South Shannonview Ridge       |    891368 |       1117
 New Michael Park              |    888725 |       1118
 Leonardville Ridge            |    887183 |       1119
 East Jameshaven Gardens       |    886352 |       1120
 Kimberlyburgh Ridge           |    886347 |       1121
 South Carol Ridge             |    885996 |       1122
 West Tracyton Ridge           |    885980 |       1123
 East Amyborough Gardens       |    885676 |       1124
 South Alexland Gardens        |    884634 |       1125
 Whitneyhaven Village          |    884562 |       1126
 Bryanfort Ridge               |    884109 |       1127
 West Donaldside Ridge         |    883894 |       1128
 Stephanieville Village        |    883189 |       1129
 New Kyleville Heights         |    882602 |       1130
 Jeremyside Heights            |    882567 |       1131
 North Caroline Bay            |    881414 |       1132
 South David Estates           |    880987 |       1133
 New Joshua Village            |    880691 |       1134
 North Michaelfort Gardens     |    879659 |       1135
 West Cathy Estates            |    879373 |       1136
 West Timothyport Village      |    875202 |       1137
 Ingramborough Park            |    874726 |       1138
 Brownburgh Ridge              |    874620 |       1139
 Shaneshire Bay                |    873969 |       1140
 Taylorburgh Village           |    873814 |       1141
 New Tanya Park                |    873135 |       1142
 Dianafort Village             |    872531 |       1143
 North Stephenbury Park        |    872101 |       1144
 Rodneytown Village            |    870646 |       1145
 West Karenbury Village        |    869435 |       1146
 Johnsonshire Park             |    868502 |       1147
 Silvashire Park               |    866230 |       1148
 Lake Carlos Bay               |    863847 |       1149
 North Jeromehaven Village     |    863272 |       1150
 Jacobsport Ridge              |    862885 |       1151
 Bushfurt Bay                  |    862653 |       1152
 Claireshire Ridge             |    861560 |       1153
 North Brian Park              |    860770 |       1154
 Port Johnnyshire Park         |    860388 |       1155
 North Robertside Heights      |    858986 |       1156
 Richardmouth Gardens          |    857653 |       1157
 Lake Candice Bay              |    856636 |       1158
 Lake Cynthiaport Ridge        |    855966 |       1159
 Webbbury Gardens              |    855903 |       1160
 South Troy Park               |    855763 |       1161
 Port Adambury Bay             |    855516 |       1162
 Davidchester Gardens          |    853673 |       1163
 Gonzalezland Heights          |    853482 |       1164
 Port Deanside Gardens         |    852890 |       1165
 Saunderston Ridge             |    850720 |       1166
 South Michael Bay             |    849598 |       1167
 Christyfort Bay               |    849417 |       1168
 Harrisville Gardens           |    848590 |       1169
 Olsonberg Heights             |    848345 |       1170
 Frankside Estates             |    847799 |       1171
 Lake Kimberly Park            |    847738 |       1172
 West Tammyview Estates        |    847301 |       1173
 Barkerchester Village         |    846649 |       1174
 New Randy Heights             |    845400 |       1175
 Morrisburgh Bay               |    843973 |       1176
 Port Jeffrey Park             |    843965 |       1177
 West Connorshire Ridge        |    843803 |       1178
 Madisonhaven Park             |    843022 |       1179
 Colefort Ridge                |    841403 |       1180
 Lake Williamville Park        |    840363 |       1181
 South Heather Estates         |    839119 |       1182
 New Deannamouth Park          |    838110 |       1183
 Jamesland Estates             |    835129 |       1184
 Smithfort Ridge               |    834835 |       1185
 East Michelletown Bay         |    833745 |       1186
 Brianshire Village            |    833624 |       1187
 Harrisonstad Ridge            |    833620 |       1188
 Timothymouth Bay              |    833215 |       1189
 East Williammouth Gardens     |    830650 |       1190
 New Charles Ridge             |    830259 |       1191
 Jamesbury Heights             |    830029 |       1192
 Port Garychester Gardens      |    828356 |       1193
 New Johnathan Heights         |    828324 |       1194
 Christianland Heights         |    826173 |       1195
 Lake Katherineport Park       |    825933 |       1196
 Maystad Ridge                 |    823998 |       1197
 Diazfurt Park                 |    823998 |       1198
 South Aaronfort Heights       |    822855 |       1199
 Port Morgan Village           |    822823 |       1200
 East Debraborough Village     |    820119 |       1201
 Ellisonshire Park             |    819313 |       1202
 South Sherri Village          |    817777 |       1203
 Port Elizabeth Gardens        |    815676 |       1204
 Blakestad Bay                 |    814400 |       1205
 West Steven Heights           |    814245 |       1206
 New Shellyborough Estates     |    813949 |       1207
 Lake Joseph Ridge             |    813622 |       1208
 Hintonmouth Estates           |    810620 |       1209
 West Michaelbury Estates      |    810097 |       1210
 North Donna Bay               |    809972 |       1211
 Dianechester Village          |    809071 |       1212
 Scottport Estates             |    807841 |       1213
 South Brianna Gardens         |    807596 |       1214
 South Jamiehaven Gardens      |    807523 |       1215
 Port John Ridge               |    806774 |       1216
 West Shelly Park              |    805350 |       1217
 Port Jamesshire Ridge         |    805007 |       1218
 West Williamview Bay          |    804617 |       1219
 New Alejandro Ridge           |    803618 |       1220
 Derekborough Heights          |    803102 |       1221
 East Michaelhaven Heights     |    802039 |       1222
 Garyberg Park                 |    799610 |       1223
 Philipchester Park            |    799587 |       1224
 North Deniseland Village      |    798775 |       1225
 North Douglaston Gardens      |    798582 |       1226
 Dennishaven Ridge             |    798172 |       1227
 Bennettmouth Heights          |    795393 |       1228
 North Gregorychester Village  |    794972 |       1229
 Lake Maryburgh Ridge          |    794763 |       1230
 Judyport Gardens              |    794585 |       1231
 Port Nicholas Estates         |    794564 |       1232
 Daviston Estates              |    792809 |       1233
 West Xavier Park              |    792796 |       1234
 Lake Christian Bay            |    792035 |       1235
 Larrybury Village             |    791976 |       1236
 East Nicole Village           |    791856 |       1237
 Lopezburgh Park               |    791848 |       1238
 Hayesview Estates             |    791723 |       1239
 Jacobfort Bay                 |    790948 |       1240
 Richardsview Ridge            |    788331 |       1241
 Lake Lori Heights             |    786588 |       1242
 Port Johnathanton Park        |    786514 |       1243
 Amandabury Estates            |    786491 |       1244
 Sullivanberg Estates          |    785602 |       1245
 New Andrewborough Ridge       |    784957 |       1246
 New Adrian Ridge              |    784247 |       1247
 Odonnellbury Gardens          |    784095 |       1248
 Nicolestad Park               |    784092 |       1249
 Grantburgh Heights            |    783959 |       1250
 Mitchellland Heights          |    782819 |       1251
 Greenland Estates             |    782096 |       1252
 South Jamie Estates           |    781848 |       1253
 Julieside Bay                 |    779591 |       1254
 Buckberg Village              |    779465 |       1255
 East Madison Estates          |    778912 |       1256
 Port Anthonyhaven Heights     |    778762 |       1257
 New Joshuashire Heights       |    778047 |       1258
 Michaelburgh Village          |    777648 |       1259
 Martinezberg Bay              |    776594 |       1260
 Smithville Estates            |    776178 |       1261
 South Elizabeth Bay           |    776125 |       1262
 Rodgersview Ridge             |    775891 |       1263
 Butlerport Bay                |    774490 |       1264
 South Colton Bay              |    774321 |       1265
 Clintonport Heights           |    774142 |       1266
 Lake Rachelborough Estates    |    773462 |       1267
 West David Estates            |    772836 |       1268
 East David Bay                |    772211 |       1269
 Port Kerry Heights            |    771775 |       1270
 Port Charlesside Estates      |    771653 |       1271
 Mccoyside Gardens             |    770953 |       1272
 Smithport Village             |    769616 |       1273
 Lake Brandon Gardens          |    768810 |       1274
 Port Bethany Gardens          |    767160 |       1275
 Skinnerton Village            |    765046 |       1276
 Martinburgh Ridge             |    764551 |       1277
 Cowanville Ridge              |    763840 |       1278
 Parktown Gardens              |    763239 |       1279
 West Ashley Park              |    762152 |       1280
 West Johnbury Ridge           |    762116 |       1281
 Davisfort Ridge               |    761267 |       1282
 Lake Coreyshire Heights       |    759872 |       1283
 South Pamelamouth Heights     |    759296 |       1284
 East Sandra Estates           |    757371 |       1285
 New Stevenshire Park          |    756854 |       1286
 Port Janice Bay               |    756567 |       1287
 Port Audrey Village           |    756374 |       1288
 New Danielle Gardens          |    756318 |       1289
 Port Mathew Park              |    753524 |       1290
 South Timothybury Ridge       |    753073 |       1291
 North Rhondaside Village      |    752528 |       1292
 Judithborough Bay             |    751396 |       1293
 Morganview Ridge              |    749694 |       1294
 North Christopherstad Village |    749238 |       1295
 Mossbury Village              |    747789 |       1296
 Duncanstad Ridge              |    745696 |       1297
 Florestown Bay                |    744227 |       1298
 West Brandonbury Bay          |    743887 |       1299
 Annatown Heights              |    743853 |       1300
 North Samuel Park             |    743216 |       1301
 Carlsonside Park              |    743001 |       1302
 West Joshua Estates           |    741932 |       1303
 New Edwinmouth Village        |    741713 |       1304
 East Carloshaven Heights      |    741689 |       1305
 Wellsfort Estates             |    741326 |       1306
 Port Marktown Park            |    740042 |       1307
 Brittanyside Park             |    738743 |       1308
 Ronaldbury Ridge              |    736719 |       1309
 Whiteton Bay                  |    735971 |       1310
 New Joanneland Heights        |    735138 |       1311
 East Angelatown Ridge         |    734638 |       1312
 East Ryan Park                |    734194 |       1313
 New Lisa Estates              |    734003 |       1314
 Lake Kariborough Village      |    732495 |       1315
 New Kyle Village              |    732097 |       1316
 Alyssaland Park               |    731181 |       1317
 Jenniferberg Gardens          |    730532 |       1318
 Cooktown Estates              |    728279 |       1319
 Edwardschester Village        |    725954 |       1320
 Saraside Village              |    723679 |       1321
 New Danielland Bay            |    723413 |       1322
 Kevinside Estates             |    722922 |       1323
 Bettyville Ridge              |    722281 |       1324
 North Savannah Heights        |    722270 |       1325
 Marthachester Park            |    721998 |       1326
 North Amberland Village       |    721922 |       1327
 South Olivia Bay              |    721847 |       1328
 Port Paul Heights             |    721622 |       1329
 North Michaelburgh Estates    |    721481 |       1330
 Lake Albert Village           |    721417 |       1331
 Sarahbury Village             |    719419 |       1332
 Stuarthaven Park              |    718895 |       1333
